<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>
2025.01.01	00:00:00	93863.40	93863.40	93332.40	93458.60
2025.01.01	01:00:00	93461.20	93714.60	93344.10	93536.20
2025.01.01	02:00:00	93536.20	94436.60	93447.70	94340.70
2025.01.01	03:00:00	94347.10	94350.50	93532.50	93575.40
2025.01.01	04:00:00	93572.40	94069.80	93549.30	94051.90
2025.01.01	05:00:00	94056.60	94056.60	93687.40	93797.50
2025.01.01	06:00:00	93790.70	93790.70	93492.40	93532.40
2025.01.01	07:00:00	93527.60	93902.10	93507.80	93747.40
2025.01.01	08:00:00	93732.90	93737.30	93520.80	93721.70
2025.01.01	09:00:00	93719.30	93772.80	93615.20	93648.20
2025.01.01	10:00:00	93654.60	93721.50	93251.50	93385.60
2025.01.01	11:00:00	93387.50	93450.30	92847.00	93369.50
2025.01.01	12:00:00	93370.60	93497.40	93237.60	93295.20
2025.01.01	13:00:00	93298.30	93675.60	93147.50	93407.60
2025.01.01	14:00:00	93411.70	93871.70	93362.60	93775.80
2025.01.01	15:00:00	93774.50	94020.40	93558.20	93983.40
2025.01.01	16:00:00	93982.80	94417.40	93610.70	94134.60
2025.01.01	17:00:00	94136.40	94474.70	93849.70	94401.10
2025.01.01	18:00:00	94397.40	94462.30	93887.50	94057.50
2025.01.01	19:00:00	94060.10	94167.40	93717.10	94111.10
2025.01.01	20:00:00	94114.80	94362.50	93906.10	94309.00
2025.01.01	21:00:00	94307.80	94805.90	94117.20	94601.40
2025.01.01	22:00:00	94599.60	94837.40	94549.20	94754.70
2025.01.01	23:00:00	94752.60	95145.00	94650.20	94949.90
2025.01.02	00:00:00	94949.10	94973.00	94653.40	94758.00
2025.01.02	01:00:00	94756.90	94926.50	94510.60	94567.60
2025.01.02	02:00:00	94568.40	95356.40	94349.10	95099.70
2025.01.02	03:00:00	95096.00	95504.60	94686.20	94834.20
2025.01.02	04:00:00	94838.70	95201.70	94774.30	95201.70
2025.01.02	05:00:00	95218.20	95276.90	94887.50	94987.50
2025.01.02	06:00:00	94989.50	96006.20	94958.80	95686.10
2025.01.02	07:00:00	95686.30	95781.10	95371.00	95575.30
2025.01.02	08:00:00	95575.00	95678.20	95349.50	95556.50
2025.01.02	09:00:00	95560.20	95867.00	95482.00	95800.90
2025.01.02	10:00:00	95803.40	96191.60	95604.10	96112.70
