<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>
2025.01.02	11:00:00	96110.40	96787.40	95999.50	96718.40
2025.01.02	12:00:00	96709.30	96781.30	96502.40	96681.40
2025.01.02	13:00:00	96686.40	96850.80	96425.90	96702.90
2025.01.02	14:00:00	96710.10	96875.50	96562.70	96817.40
2025.01.02	15:00:00	96821.00	96939.50	96391.50	96413.50
2025.01.02	16:00:00	96417.40	97397.40	95900.10	97227.60
2025.01.02	17:00:00	97215.80	97277.60	96107.20	96422.70
2025.01.02	18:00:00	96417.20	97632.80	96007.50	97186.50
2025.01.02	19:00:00	97182.90	97587.50	96291.60	96721.80
2025.01.02	20:00:00	96730.80	97325.40	96361.10	97272.70
2025.01.02	21:00:00	97272.70	97747.40	97153.60	97274.20
2025.01.02	22:00:00	97280.40	97800.50	97237.50	97256.00
2025.01.02	23:00:00	97249.60	97311.70	97000.10	97167.50
2025.01.03	00:00:00	97165.20	97165.20	96630.70	96851.20
2025.01.03	01:00:00	96845.70	97043.60	96739.10	96955.00
2025.01.03	02:00:00	96955.00	97032.40	96747.50	96787.40
2025.01.03	03:00:00	96784.10	96975.40	96609.50	96948.00
2025.01.03	04:00:00	96954.30	97312.20	96813.00	96924.60
2025.01.03	05:00:00	96929.20	97053.20	96776.60	97006.50
2025.01.03	06:00:00	97012.20	97013.80	96709.40	96760.80
2025.01.03	07:00:00	96766.70	96821.30	96542.50	96712.20
2025.01.03	08:00:00	96707.50	96872.00	96452.95	96492.20
2025.01.03	09:00:00	96495.00	96602.10	96224.50	96262.50
2025.01.03	10:00:00	96262.60	96484.40	96055.50	96078.00
2025.01.03	11:00:00	96069.40	96656.80	96049.00	96499.70
2025.01.03	12:00:00	96495.50	96597.30	96353.50	96431.30
2025.01.03	13:00:00	96436.00	96775.40	96431.30	96697.90
2025.01.03	14:00:00	96700.20	96873.50	96605.60	96605.60
2025.01.03	15:00:00	96599.50	96785.00	96417.90	96451.50
2025.01.03	16:00:00	96451.70	97298.40	96451.70	96956.80
2025.01.03	17:00:00	96960.60	97617.70	96694.80	97467.00
2025.01.03	18:00:00	97473.40	98407.40	97341.10	97809.80
2025.01.03	19:00:00	97811.10	98247.20	97776.50	97971.20
2025.01.03	20:00:00	97989.40	98652.40	97943.90	98471.20
2025.01.03	21:00:00	98461.40	98936.40	98439.40	98533.00
2025.01.03	22:00:00	98526.80	98688.00	98236.00	98256.90
2025.01.03	23:00:00	98264.20	98370.60	98132.40	98210.10
2025.01.04	00:00:00	98218.20	98468.50	98187.50	98246.20
2025.01.04	01:00:00	98250.40	98328.40	98016.00	98133.20
2025.01.04	02:00:00	98133.20	98239.80	97815.60	97899.50
2025.01.04	03:00:00	97904.90	98048.70	97750.80	97977.80
2025.01.04	04:00:00	97985.30	98260.00	97798.80	98254.90
2025.01.04	05:00:00	98252.50	98252.50	97987.60	98136.80
2025.01.04	06:00:00	98133.90	98133.90	97817.50	97951.10
2025.01.04	07:00:00	97961.20	98149.80	97937.50	98074.80
2025.01.04	08:00:00	98079.20	98164.10	97990.70	98086.30
2025.01.04	09:00:00	98078.00	98287.40	98050.30	98231.60
2025.01.04	10:00:00	98231.70	98266.70	97849.40	97857.40
2025.01.04	11:00:00	97855.10	97937.40	97483.65	97631.70
2025.01.04	12:00:00	97629.20	97798.40	97532.30	97727.40
2025.01.04	13:00:00	97727.40	97862.40	97647.20	97825.50
2025.01.04	14:00:00	97823.70	97959.40	97738.90	97822.60
2025.01.04	15:00:00	97825.30	98017.50	97685.80	97911.80
2025.01.04	16:00:00	97921.00	98032.80	97764.50	97979.40
2025.01.04	17:00:00	97983.60	98103.00	97472.50	97611.00
2025.01.04	18:00:00	97605.40	97808.90	97523.20	97664.10
2025.01.04	19:00:00	97665.90	98005.40	97632.60	97970.00
2025.01.04	20:00:00	97970.10	98093.40	97857.40	97919.30
2025.01.04	21:00:00	97924.50	98301.60	97878.60	98104.20
2025.01.04	22:00:00	98109.40	98632.50	98109.40	98564.90
2025.01.04	23:00:00	98569.60	98747.70	98287.50	98323.20
2025.01.05	00:00:00	98326.20	98448.50	98219.50	98359.90
2025.01.05	01:00:00	98355.00	98377.50	98075.70	98155.90
2025.01.05	02:00:00	98160.60	98337.20	98096.70	98165.80
2025.01.05	03:00:00	98167.70	98275.10	97988.60	98074.10
2025.01.05	04:00:00	98074.20	98182.90	98057.50	98182.90
2025.01.05	05:00:00	98174.40	98187.40	98017.50	98147.50
2025.01.05	06:00:00	98149.80	98476.40	98149.80	98302.20
2025.01.05	07:00:00	98310.40	98460.60	98213.30	98294.80
2025.01.05	08:00:00	98298.60	98449.50	98237.50	98400.40
2025.01.05	09:00:00	98400.30	98417.20	98213.50	98213.50
2025.01.05	10:00:00	98196.60	98196.60	97702.30	97813.40
2025.01.05	11:00:00	97807.20	97888.80	97583.50	97607.40
2025.01.05	12:00:00	97618.00	97727.20	97525.80	97681.20
2025.01.05	13:00:00	97674.40	97787.40	97557.10	97596.90
2025.01.05	14:00:00	97597.00	97907.40	97508.10	97707.50
2025.01.05	15:00:00	97705.40	97975.40	97622.50	97642.00
2025.01.05	16:00:00	97654.90	97914.50	97214.50	97802.40
2025.01.05	17:00:00	97789.80	98232.90	97641.10	97974.50
2025.01.05	18:00:00	97969.20	98284.60	97875.50	97983.10
2025.01.05	19:00:00	97976.80	98026.10	97606.70	97679.70
2025.01.05	20:00:00	97682.40	97881.00	97517.50	97859.50
2025.01.05	21:00:00	97860.70	98075.40	97792.40	98036.40
2025.01.05	22:00:00	98042.10	98662.30	97974.80	98232.30
2025.01.05	23:00:00	98228.50	98484.20	98173.50	98457.40
2025.01.06	00:00:00	98463.50	98729.50	98305.00	98648.60
2025.01.06	01:00:00	98645.50	98811.50	98272.00	98327.70
2025.01.06	02:00:00	98327.70	98742.50	98137.50	98172.80
2025.01.06	03:00:00	98178.40	98787.40	97862.70	98723.10
2025.01.06	04:00:00	98723.20	99265.40	98594.90	98774.10
2025.01.06	05:00:00	98770.60	99201.90	98710.50	98987.50
2025.01.06	06:00:00	99000.20	99451.90	99000.20	99410.50
2025.01.06	07:00:00	99405.70	99868.40	99341.70	99547.40
2025.01.06	08:00:00	99551.30	99730.00	99363.40	99456.70
2025.01.06	09:00:00	99454.10	99489.80	99117.50	99257.30
2025.01.06	10:00:00	99320.90	99585.00	98928.40	98988.70
2025.01.06	11:00:00	98988.90	99208.40	98886.80	98955.80
2025.01.06	12:00:00	98962.60	99019.10	98652.50	98728.90
2025.01.06	13:00:00	98736.90	99369.50	98662.40	99206.70
2025.01.06	14:00:00	99206.80	99667.40	99091.70	99107.20
2025.01.06	15:00:00	99115.40	99517.70	98850.90	99439.90
2025.01.06	16:00:00	99447.90	101236.10	98657.50	100696.30
2025.01.06	17:00:00	100696.30	102430.20	100419.60	102084.20
2025.01.06	18:00:00	102092.00	102431.40	101687.60	102109.50
2025.01.06	19:00:00	102098.40	102098.40	101211.60	101782.70
2025.01.06	20:00:00	101773.30	102007.40	101508.00	101689.10
2025.01.06	21:00:00	101693.30	101981.40	101578.30	101760.50
2025.01.06	22:00:00	101751.90	102275.40	101744.50	102062.90
2025.01.06	23:00:00	102067.40	102286.20	101538.70	101554.00
2025.01.07	00:00:00	101563.30	102034.80	101549.00	101953.40
2025.01.07	01:00:00	101952.20	102186.50	101839.60	102170.60
2025.01.07	02:00:00	102167.90	102682.95	101877.80	101992.10
2025.01.07	03:00:00	101987.40	102015.60	101634.50	101861.40
2025.01.07	04:00:00	101867.40	101964.90	101596.00	101615.20
2025.01.07	05:00:00	101620.30	101772.50	101458.50	101648.80
2025.01.07	06:00:00	101647.30	101872.40	101598.20	101598.20
2025.01.07	07:00:00	101599.60	101736.40	101521.40	101688.90
2025.01.07	08:00:00	101683.20	101845.30	101583.90	101758.50
2025.01.07	09:00:00	101753.50	101973.50	101588.40	101636.70
2025.01.07	10:00:00	101642.30	101958.60	101567.50	101849.50
2025.01.07	11:00:00	101852.50	101876.10	101587.60	101670.10
2025.01.07	12:00:00	101665.50	101665.50	101325.50	101354.30
2025.01.07	13:00:00	101354.20	101418.20	100422.90	100774.10
2025.01.07	14:00:00	100777.60	100893.60	100567.50	100699.80
2025.01.07	15:00:00	100707.60	100901.60	100545.90	100577.50
2025.01.07	16:00:00	100578.90	100802.80	99708.70	99925.80
2025.01.07	17:00:00	99932.80	100101.90	97099.05	97902.80
2025.01.07	18:00:00	97909.90	98295.30	97538.10	97693.80
2025.01.07	19:00:00	97708.10	97759.90	96537.30	97233.40
2025.01.07	20:00:00	97234.20	97502.10	96567.50	96719.30
2025.01.07	21:00:00	96721.40	97150.60	96286.95	96420.60
2025.01.07	22:00:00	96418.30	96835.10	96154.60	96492.20
2025.01.07	23:00:00	96476.60	97053.00	96350.20	96467.80
2025.01.08	00:00:00	96460.50	97173.20	96366.60	97116.30
2025.01.08	01:00:00	97112.50	97120.30	96746.20	96907.70
2025.01.08	02:00:00	96907.70	97229.60	96657.70	97217.50
2025.01.08	03:00:00	97211.30	97211.30	96558.50	96854.50
2025.01.08	04:00:00	96859.30	97128.40	96723.90	96817.20
2025.01.08	05:00:00	96815.60	96817.40	96187.70	96491.60
2025.01.08	06:00:00	96491.60	96587.40	96057.65	96236.30
2025.01.08	07:00:00	96239.10	96601.00	96057.30	96442.10
2025.01.08	08:00:00	96448.20	96592.50	95226.60	95250.50
2025.01.08	09:00:00	95252.90	95778.50	95213.50	95614.10
2025.01.08	10:00:00	95611.40	96087.40	95487.50	95902.30
2025.01.08	11:00:00	95896.00	96058.30	95357.20	95388.40
2025.01.08	12:00:00	95392.20	95950.80	95392.20	95903.50
2025.01.08	13:00:00	95908.30	96003.20	94485.50	95081.30
2025.01.08	14:00:00	95081.20	95322.50	94796.00	94837.10
2025.01.08	15:00:00	94839.60	95615.10	94839.60	95331.00
2025.01.08	16:00:00	95322.70	95821.00	94841.70	95239.80
2025.01.08	17:00:00	95237.80	96038.40	94576.40	95434.50
2025.01.08	18:00:00	95434.50	95434.50	94500.70	94727.30
2025.01.08	19:00:00	94726.70	94800.40	92487.60	93962.30
2025.01.08	20:00:00	93961.40	95067.30	93713.00	94203.40
2025.01.08	21:00:00	94193.50	94802.50	93990.20	94208.40
2025.01.08	22:00:00	94199.70	94363.60	93700.80	93927.50
2025.01.08	23:00:00	93936.80	94537.00	93561.00	94410.30
2025.01.09	00:00:00	94409.50	95235.40	94401.50	95235.30
2025.01.09	01:00:00	95244.30	95253.20	94839.60	95012.20
2025.01.09	02:00:00	95001.50	95105.70	94754.10	95098.50
2025.01.09	03:00:00	95103.20	95346.10	94924.80	94940.80
2025.01.09	04:00:00	94944.90	94998.40	93399.60	94731.30
2025.01.09	05:00:00	94738.50	94755.20	93965.50	93972.50
2025.01.09	06:00:00	93967.50	94433.80	93752.40	94360.70
2025.01.09	07:00:00	94354.90	94517.40	94214.30	94416.40
2025.01.09	08:00:00	94420.90	94569.40	93992.30	94048.40
2025.01.09	09:00:00	94039.00	94261.00	93143.70	93163.90
2025.01.09	10:00:00	93164.30	93351.80	92687.50	92969.10
2025.01.09	11:00:00	92979.70	93687.40	92914.10	93462.50
2025.01.09	12:00:00	93463.70	93613.30	92967.50	93412.40
2025.01.09	13:00:00	93408.40	93820.20	93156.10	93401.80
2025.01.09	14:00:00	93401.90	93632.40	93096.80	93369.30
2025.01.09	15:00:00	93360.60	93437.70	91823.70	91914.30
2025.01.09	16:00:00	91909.00	92847.40	91734.50	92804.90
2025.01.09	17:00:00	92798.40	94531.20	92596.60	94182.60
2025.01.09	18:00:00	94182.50	94625.50	93791.60	94197.70
2025.01.09	19:00:00	94200.60	94234.40	92262.50	92644.00
2025.01.09	20:00:00	92650.60	93192.10	92353.50	92974.30
2025.01.09	21:00:00	92972.30	93246.80	91840.50	91845.40
2025.01.09	22:00:00	91846.60	92324.30	91127.50	91828.20
2025.01.09	23:00:00	91844.20	92437.50	91737.50	92053.50
2025.01.10	00:00:00	92048.80	92660.60	91583.50	92400.20
2025.01.10	01:00:00	92408.30	92630.40	91988.00	92493.40
2025.01.10	02:00:00	92493.40	92802.40	92401.60	92713.30
2025.01.10	03:00:00	92708.10	93108.30	92532.90	93043.60
2025.01.10	04:00:00	93037.90	93630.40	92966.30	93303.30
2025.01.10	05:00:00	93306.30	93666.40	93250.00	93642.40
2025.01.10	06:00:00	93642.40	93849.10	93438.30	93780.30
2025.01.10	07:00:00	93782.60	94191.90	93581.00	93912.30
2025.01.10	08:00:00	93917.40	94272.30	93677.80	94195.10
2025.01.10	09:00:00	94196.60	94948.30	94013.30	94449.20
2025.01.10	10:00:00	94444.40	94709.80	94332.00	94619.90
2025.01.10	11:00:00	94615.50	94915.20	94515.50	94722.40
2025.01.10	12:00:00	94731.30	95227.30	94693.80	95147.50
2025.01.10	13:00:00	95146.60	95189.90	94560.10	95017.90
2025.01.10	14:00:00	95023.40	95064.70	94647.50	94967.40
2025.01.10	15:00:00	94966.00	94979.40	92692.20	93516.60
2025.01.10	16:00:00	93509.50	94624.40	93365.10	94065.60
2025.01.10	17:00:00	94047.50	94483.10	92161.10	93694.20
2025.01.10	18:00:00	93689.30	93977.60	93141.50	93593.00
2025.01.10	19:00:00	93609.60	95792.35	93276.20	95741.90
2025.01.10	20:00:00	95733.10	95733.10	94530.10	94808.30
2025.01.10	21:00:00	94814.30	95335.00	94335.40	95263.40
2025.01.10	22:00:00	95256.10	95399.70	94523.50	94626.80
2025.01.10	23:00:00	94620.30	94869.10	94552.60	94570.30
2025.01.11	00:00:00	94573.10	94902.40	94529.20	94716.90
2025.01.11	01:00:00	94714.80	94854.40	94595.80	94663.00
2025.01.11	02:00:00	94663.00	94686.10	94293.00	94547.30
2025.01.11	03:00:00	94547.40	94640.40	94165.90	94378.90
2025.01.11	04:00:00	94382.10	94451.40	94125.80	94358.70
2025.01.11	05:00:00	94357.30	94378.90	94048.30	94155.70
2025.01.11	06:00:00	94150.90	94259.30	93790.00	94009.50
2025.01.11	07:00:00	94010.00	94325.90	93950.10	94305.20
2025.01.11	08:00:00	94303.80	94381.70	94149.50	94149.50
2025.01.11	09:00:00	94149.80	94281.30	94092.70	94189.70
2025.01.11	10:00:00	94197.80	94354.40	93987.50	94023.80
2025.01.11	11:00:00	94025.00	94287.40	93991.20	94283.50
2025.01.11	12:00:00	94287.40	94472.10	94247.50	94431.10
2025.01.11	13:00:00	94428.10	94735.00	94397.50	94557.90
2025.01.11	14:00:00	94559.20	94594.50	94466.50	94500.30
2025.01.11	15:00:00	94493.80	94553.80	94277.50	94326.60
2025.01.11	16:00:00	94329.30	94583.50	94249.60	94558.40
2025.01.11	17:00:00	94542.60	94598.80	94309.50	94353.10
2025.01.11	18:00:00	94375.40	94667.40	94244.10	94401.70
2025.01.11	19:00:00	94400.60	94400.60	93933.00	94103.90
2025.01.11	20:00:00	94094.90	94257.40	94059.30	94221.70
2025.01.11	21:00:00	94224.80	94286.40	94017.50	94193.90
2025.01.11	22:00:00	94198.00	94615.50	94141.60	94538.00
2025.01.11	23:00:00	94543.00	94969.40	94509.70	94879.00
2025.01.12	00:00:00	94886.00	94936.00	94509.50	94534.50
2025.01.12	01:00:00	94538.20	94699.40	94487.30	94542.10
2025.01.12	02:00:00	94549.90	94607.40	94371.80	94398.80
2025.01.12	03:00:00	94407.60	94541.10	94249.10	94527.60
2025.01.12	04:00:00	94514.20	94619.40	94419.10	94570.50
2025.01.12	05:00:00	94580.60	94649.30	94355.50	94573.50
2025.01.12	06:00:00	94577.80	94601.90	94438.60	94523.40
2025.01.12	07:00:00	94527.40	94574.90	94434.00	94506.50
2025.01.12	08:00:00	94507.50	94566.20	94302.80	94311.50
2025.01.12	09:00:00	94311.30	94397.20	94215.80	94277.40
2025.01.12	10:00:00	94272.70	94346.90	94056.70	94130.60
2025.01.12	11:00:00	94130.00	94184.40	93652.00	93846.50
2025.01.12	12:00:00	93843.30	94014.40	93770.50	93956.60
2025.01.12	13:00:00	93956.60	94296.90	93956.40	94199.50
2025.01.12	14:00:00	94194.50	94549.40	94115.50	94278.90
2025.01.12	15:00:00	94275.50	94682.00	94243.80	94608.70
2025.01.12	16:00:00	94609.40	94937.20	94609.40	94752.40
2025.01.12	17:00:00	94755.10	95420.80	94616.40	95023.10
2025.01.12	18:00:00	95023.20	95087.40	94748.10	94995.50
2025.01.12	19:00:00	94998.60	95219.40	94913.30	95088.50
2025.01.12	20:00:00	95076.20	95265.40	94854.10	94944.20
2025.01.12	21:00:00	94940.50	95009.30	94518.60	94612.50
2025.01.12	22:00:00	94618.00	94759.50	94549.20	94643.30
2025.01.12	23:00:00	94647.60	94683.30	94244.50	94296.90
2025.01.13	00:00:00	94287.50	94313.70	93720.10	93901.40
2025.01.13	01:00:00	93907.10	94515.00	93896.90	94483.40
2025.01.13	02:00:00	94487.40	95902.90	94389.90	95263.50
2025.01.13	03:00:00	95262.10	95347.40	94018.80	94164.10
2025.01.13	04:00:00	94159.90	94451.20	93839.50	94155.40
2025.01.13	05:00:00	94147.50	94362.40	93908.10	94202.90
2025.01.13	06:00:00	94201.40	94865.40	94135.30	94442.70
2025.01.13	07:00:00	94452.90	94493.30	94007.50	94116.60
2025.01.13	08:00:00	94123.40	94285.40	93215.90	93591.40
2025.01.13	09:00:00	93591.60	93903.20	93422.90	93545.30
2025.01.13	10:00:00	93544.40	93613.40	92847.80	92998.10
2025.01.13	11:00:00	93003.60	93151.60	92597.10	92790.10
2025.01.13	12:00:00	92788.20	92838.40	91331.50	91603.90
2025.01.13	13:00:00	91609.00	91742.70	90797.40	90809.30
2025.01.13	14:00:00	90818.10	91299.90	90252.30	90701.30
2025.01.13	15:00:00	90706.30	91743.40	90541.00	91081.10
2025.01.13	16:00:00	91081.90	92251.40	88992.70	91786.90
2025.01.13	17:00:00	91784.00	93038.60	91531.00	92085.30
2025.01.13	18:00:00	92092.20	92234.00	91207.80	91310.40
2025.01.13	19:00:00	91305.20	92261.80	91199.60	91932.30
2025.01.13	20:00:00	91926.40	92359.50	91542.50	92026.70
2025.01.13	21:00:00	92022.80	92488.10	91542.50	92261.70
2025.01.13	22:00:00	92257.40	93742.40	91856.80	93521.00
2025.01.13	23:00:00	93529.40	94421.10	93339.60	94148.20
2025.01.14	00:00:00	94157.50	94668.50	94089.10	94347.50
2025.01.14	01:00:00	94350.30	94568.60	94131.20	94473.40
2025.01.14	02:00:00	94472.80	94817.10	94293.80	94427.60
2025.01.14	03:00:00	94423.50	94994.15	94410.40	94787.40
2025.01.14	04:00:00	94780.40	95244.20	94690.60	94835.90
2025.01.14	05:00:00	94829.90	95062.00	94770.10	94808.10
2025.01.14	06:00:00	94812.30	95096.30	94774.50	95064.30
2025.01.14	07:00:00	95056.60	95420.30	94826.90	94873.80
2025.01.14	08:00:00	94876.70	94986.40	94700.30	94986.40
2025.01.14	09:00:00	94987.40	95120.50	94797.60	94806.10
2025.01.14	10:00:00	94812.30	95772.90	94810.90	95439.40
2025.01.14	11:00:00	95445.80	97339.40	95401.50	97117.40
2025.01.14	12:00:00	97117.50	97140.70	96528.80	96623.70
2025.01.14	13:00:00	96633.50	96647.40	96297.50	96495.80
2025.01.14	14:00:00	96496.20	96662.70	95935.10	95940.80
2025.01.14	15:00:00	95948.00	97235.50	95706.30	96282.80
2025.01.14	16:00:00	96286.60	97210.30	95966.70	96233.50
2025.01.14	17:00:00	96247.70	96926.40	96126.70	96404.20
2025.01.14	18:00:00	96402.40	96402.40	95300.20	95686.30
2025.01.14	19:00:00	95683.60	96485.90	95527.50	96468.70
2025.01.14	20:00:00	96457.40	96908.40	96227.80	96714.20
2025.01.14	21:00:00	96707.30	97032.20	96409.30	96491.30
2025.01.14	22:00:00	96481.80	96868.70	96087.60	96453.70
2025.01.14	23:00:00	96447.80	96632.50	96258.40	96434.80
2025.01.15	00:00:00	96437.40	96698.20	96394.50	96636.20
2025.01.15	01:00:00	96626.40	96729.40	96437.90	96500.10
2025.01.15	02:00:00	96502.40	97287.40	96437.70	96839.50
2025.01.15	03:00:00	96838.70	97517.30	96740.00	97293.60
2025.01.15	04:00:00	97289.60	97406.20	96689.80	96768.80
2025.01.15	05:00:00	96773.60	97284.60	96707.30	97276.20
2025.01.15	06:00:00	97281.90	97675.40	97021.10	97143.20
2025.01.15	07:00:00	97144.00	97197.70	96677.40	96976.60
2025.01.15	08:00:00	96982.70	97098.60	96790.16	97047.40
2025.01.15	09:00:00	97050.30	97536.60	97050.30	97241.20
2025.01.15	10:00:00	97241.40	97475.00	97102.50	97152.50
2025.01.15	11:00:00	97143.00	97313.00	96707.50	96764.50
2025.01.15	12:00:00	96758.30	97082.80	96659.10	96876.50
2025.01.15	13:00:00	96878.90	96887.40	96469.60	96712.90
2025.01.15	14:00:00	96708.20	97145.40	96487.50	96888.50
2025.01.15	15:00:00	96880.00	98983.90	96790.30	98903.60
2025.01.15	16:00:00	98889.20	99445.40	98559.60	99368.00
2025.01.15	17:00:00	99369.80	99727.20	98904.40	98930.80
2025.01.15	18:00:00	98931.10	99423.70	98818.30	98935.50
2025.01.15	19:00:00	98947.30	99268.30	98541.50	98583.90
2025.01.15	20:00:00	98587.40	99386.80	98587.40	99373.00
2025.01.15	21:00:00	99370.30	99987.50	99220.50	99794.90
2025.01.15	22:00:00	99800.30	100645.90	99402.50	99512.50
2025.01.15	23:00:00	99503.40	99797.40	99418.90	99608.10
2025.01.16	00:00:00	99621.40	99797.40	99496.50	99661.60
2025.01.16	01:00:00	99668.50	100470.40	99566.90	100447.50
2025.01.16	02:00:00	100447.50	100837.40	99599.60	99822.60
2025.01.16	03:00:00	99819.20	100154.20	99761.50	100032.40
2025.01.16	04:00:00	100030.60	100070.90	99417.60	99582.40
2025.01.16	05:00:00	99586.20	99797.60	99109.80	99436.50
2025.01.16	06:00:00	99426.30	99647.40	99426.30	99561.60
2025.01.16	07:00:00	99559.80	99570.30	99301.00	99332.50
2025.01.16	08:00:00	99335.40	99854.60	99271.70	99731.20
2025.01.16	09:00:00	99741.00	99787.20	99583.20	99749.90
2025.01.16	10:00:00	99743.90	99775.20	98555.75	98897.40
2025.01.16	11:00:00	98908.30	99265.40	98583.60	99093.50
2025.01.16	12:00:00	99093.60	99359.20	99054.00	99152.50
2025.01.16	13:00:00	99156.70	99287.40	98670.50	99094.50
2025.01.16	14:00:00	99091.10	99467.00	98827.50	99323.40
2025.01.16	15:00:00	99325.20	99364.80	98709.10	99018.10
2025.01.16	16:00:00	99015.80	99344.80	97452.70	97566.40
2025.01.16	17:00:00	97577.60	99257.70	97287.40	99245.70
2025.01.16	18:00:00	99234.10	99832.40	99011.70	99297.40
2025.01.16	19:00:00	99293.40	100311.40	99124.50	99769.10
2025.01.16	20:00:00	99757.30	100003.80	99189.70	99513.50
2025.01.16	21:00:00	99505.50	100412.60	99337.50	100369.50
2025.01.16	22:00:00	100369.50	100586.40	100207.90	100292.80
2025.01.16	23:00:00	100298.20	100323.20	99669.50	100088.60
2025.01.17	00:00:00	100087.00	100087.00	99323.50	99768.00
2025.01.17	01:00:00	99778.90	100050.00	99670.60	99924.90
2025.01.17	02:00:00	99924.90	100390.80	99889.50	100074.80
2025.01.17	03:00:00	100079.90	101827.70	99978.30	101623.70
2025.01.17	04:00:00	101625.50	102111.00	100714.00	101045.20
2025.01.17	05:00:00	101040.30	101213.10	100877.80	100990.30
2025.01.17	06:00:00	100987.50	101436.20	100887.50	101412.40
2025.01.17	07:00:00	101426.40	101717.50	101255.80	101286.50
2025.01.17	08:00:00	101292.30	101547.40	101247.90	101361.40
2025.01.17	09:00:00	101362.30	101830.90	101343.60	101398.20
2025.01.17	10:00:00	101387.50	102169.30	101387.50	102079.40
2025.01.17	11:00:00	102075.20	102237.30	101673.10	101788.00
2025.01.17	12:00:00	101791.90	102544.00	101725.20	102276.40
2025.01.17	13:00:00	102277.00	102399.30	102034.80	102169.10
2025.01.17	14:00:00	102177.40	102917.50	102128.80	102689.40
2025.01.17	15:00:00	102694.10	102923.60	102337.40	102407.00
2025.01.17	16:00:00	102411.50	103309.10	102203.20	103309.10
2025.01.17	17:00:00	103299.40	104186.30	103212.50	103926.90
2025.01.17	18:00:00	103937.40	104948.10	103760.10	104911.40
2025.01.17	19:00:00	104902.90	105217.40	103955.70	104055.80
2025.01.17	20:00:00	104067.20	104887.50	103965.00	104768.50
2025.01.17	21:00:00	104765.70	105768.70	104609.90	105758.40
2025.01.17	22:00:00	105764.40	105764.40	104487.60	104641.90
2025.01.17	23:00:00	104634.70	104991.60	104406.50	104552.10
2025.01.18	00:00:00	104561.40	104642.50	104145.80	104358.30
2025.01.18	01:00:00	104355.90	104478.50	104014.40	104030.00
2025.01.18	02:00:00	104030.00	104603.10	104023.70	104603.10
2025.01.18	03:00:00	104592.20	104592.20	104042.50	104215.20
2025.01.18	04:00:00	104221.40	104448.90	104193.20	104272.80
2025.01.18	05:00:00	104276.50	104419.80	103002.10	103525.70
2025.01.18	06:00:00	103515.10	103660.30	102614.70	103542.80
2025.01.18	07:00:00	103541.60	103718.10	102756.70	102766.10
2025.01.18	08:00:00	102762.60	103582.60	102757.80	103387.50
2025.01.18	09:00:00	103384.20	103444.10	102548.50	102774.40
2025.01.18	10:00:00	102765.80	103297.50	102231.50	103229.50
2025.01.18	11:00:00	103225.50	103413.40	103001.10	103110.40
2025.01.18	12:00:00	103117.10	103253.40	102789.20	103133.30
